@relation 'baseball_trim-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P20.0-weka.filters.unsupervised.attribute.Remove-R9,44-weka.filters.unsupervised.attribute.Remove-R16,30-weka.filters.unsupervised.attribute.Standardize-weka.filters.unsupervised.attribute.Remove-V-R13,18,19,22,29,30,31,42,43,44,last'

@attribute AOBP numeric
@attribute HRBI numeric
@attribute HBB numeric
@attribute HGO numeric
@attribute HER numeric
@attribute HPBB numeric
@attribute HPHBP numeric
@attribute HE numeric
@attribute HSB numeric
@attribute HCS numeric
@attribute Winner {Away,Home,Draw}

@data
-0.203947,0.308705,0.553723,-0.298308,-1.056475,-0.270912,-0.677762,-0.764255,-0.688864,-0.500337,Home
-0.203947,-1.153448,-0.358571,0.106237,1.475835,-0.270912,-0.677762,0.307566,-0.688864,-0.500337,Away
-0.203947,0.016274,-1.270865,-0.298308,-0.775107,-1.163604,0.604189,0.307566,-0.688864,-0.500337,Home
-0.203947,-0.568587,0.097576,0.510782,0.068996,1.51447,-0.677762,-0.764255,2.696578,-0.500337,Away
-0.203947,-1.153448,0.553723,0.106237,0.350364,0.175433,0.604189,0.307566,-0.688864,-0.500337,Away
-0.203947,-0.861018,0.553723,0.106237,0.913099,0.175433,0.604189,0.307566,-0.688864,-0.500337,Away
4.894718,-0.276156,-0.358571,-0.298308,0.068996,1.068125,-0.677762,0.307566,-0.688864,1.443539,Away
-0.203947,-1.445879,-0.814718,0.915327,0.068996,-0.717258,-0.677762,-0.764255,-0.688864,-0.500337,Away
-0.203947,-0.568587,0.097576,0.510782,0.913099,0.621779,-0.677762,-0.764255,-0.688864,-0.500337,Away
-0.203947,-0.568587,-0.814718,0.915327,0.631732,0.175433,1.886139,0.307566,0.439617,-0.500337,Away
-0.203947,-0.276156,-0.814718,-1.511942,-0.493739,-0.717258,-0.677762,-0.764255,-0.688864,-0.500337,Home
-0.203947,1.770858,-0.358571,-0.702853,-0.775107,-0.717258,-0.677762,-0.764255,-0.688864,1.443539,Home
-0.203947,-1.153448,0.553723,-0.702853,-0.775107,-0.270912,0.604189,0.307566,-0.688864,-0.500337,Away
-0.203947,1.478428,-0.358571,-0.298308,-0.775107,1.068125,-0.677762,-0.764255,1.568098,-0.500337,Home
-0.203947,-1.153448,-1.727011,0.106237,0.913099,0.621779,0.604189,0.307566,-0.688864,-0.500337,Away
-0.203947,-0.568587,1.009869,-0.298308,-0.775107,0.175433,-0.677762,0.307566,-0.688864,-0.500337,Away
-0.203947,-0.861018,1.466016,0.106237,1.757202,1.068125,0.604189,0.307566,-0.688864,-0.500337,Away
-0.203947,0.893566,-0.814718,0.106237,0.913099,-0.717258,-0.677762,-0.764255,0.439617,1.443539,Home
4.894718,-1.445879,-0.358571,-0.298308,-1.056475,0.621779,-0.677762,2.451207,-0.688864,-0.500337,Away
-0.203947,-0.568587,-0.358571,0.510782,-0.212371,1.068125,0.604189,0.307566,-0.688864,-0.500337,Away
-0.203947,-0.861018,-0.814718,0.915327,0.631732,1.51447,0.604189,1.379386,-0.688864,-0.500337,Away
-0.203947,-0.276156,1.009869,-0.298308,0.913099,1.960816,-0.677762,2.451207,0.439617,-0.500337,Away
-0.203947,-0.276156,-0.814718,-0.298308,-0.493739,-0.717258,-0.677762,-0.764255,-0.688864,-0.500337,Home
-0.203947,-0.276156,0.097576,-0.702853,-1.056475,-1.163604,-0.677762,0.307566,-0.688864,-0.500337,Home
-0.203947,1.478428,-0.358571,-0.298308,-0.493739,-0.270912,-0.677762,-0.764255,-0.688864,-0.500337,Home
-0.203947,1.185997,0.097576,1.319871,-1.056475,-1.609949,-0.677762,0.307566,0.439617,-0.500337,Home
-0.203947,0.601136,-0.358571,1.724416,-0.212371,1.068125,0.604189,0.307566,2.696578,-0.500337,Home
-0.203947,1.770858,-0.358571,-1.107397,-1.056475,0.621779,-0.677762,1.379386,-0.688864,1.443539,Home
-0.203947,-0.568587,-1.270865,0.510782,0.631732,1.51447,0.604189,-0.764255,0.439617,-0.500337,Away
-0.203947,-0.861018,-0.358571,-0.298308,-1.056475,0.175433,-0.677762,0.307566,0.439617,1.443539,Draw
-0.203947,0.016274,0.097576,0.106237,-0.493739,0.175433,0.604189,-0.764255,0.439617,1.443539,Home
-0.203947,2.063289,-1.270865,-0.702853,-1.337842,-1.163604,-0.677762,-0.764255,-0.688864,-0.500337,Home
-0.203947,-1.153448,0.097576,-0.702853,0.068996,0.175433,-0.677762,0.307566,0.439617,-0.500337,Away
-0.203947,0.016274,-0.358571,0.106237,-0.493739,-0.717258,-0.677762,0.307566,0.439617,-0.500337,Home
-0.203947,0.308705,-0.814718,-0.298308,-0.212371,-0.717258,-0.677762,-0.764255,0.439617,-0.500337,Home
-0.203947,2.35572,0.553723,-1.107397,-0.212371,-0.717258,0.604189,-0.764255,-0.688864,-0.500337,Home
-0.203947,0.016274,0.553723,0.915327,-0.212371,0.175433,-0.677762,-0.764255,0.439617,1.443539,Home
-0.203947,-1.445879,0.553723,0.106237,-0.493739,0.175433,-0.677762,-0.764255,-0.688864,-0.500337,Away
-0.203947,0.308705,0.097576,0.106237,-1.337842,1.068125,-0.677762,-0.764255,1.568098,-0.500337,Home
-0.203947,-1.153448,-0.814718,-1.107397,-1.056475,-0.270912,-0.677762,0.307566,-0.688864,-0.500337,Home
-0.203947,-0.861018,-1.727011,0.106237,0.068996,1.068125,0.604189,-0.764255,-0.688864,1.443539,Away
-0.203947,-0.276156,-0.814718,0.510782,1.194467,-0.270912,-0.677762,-0.764255,-0.688864,-0.500337,Away
-0.203947,-0.276156,1.009869,0.510782,-1.056475,-1.163604,-0.677762,1.379386,-0.688864,-0.500337,Home
-0.203947,-0.568587,-0.358571,0.915327,-0.212371,2.853507,0.604189,1.379386,-0.688864,-0.500337,Away
-0.203947,-1.153448,-1.727011,0.106237,-0.493739,1.068125,1.886139,0.307566,-0.688864,-0.500337,Away
-0.203947,1.185997,2.37831,2.128961,-1.337842,-1.163604,1.886139,-0.764255,-0.688864,-0.500337,Home
-0.203947,0.308705,0.553723,-0.702853,0.068996,2.407162,1.886139,-0.764255,-0.688864,-0.500337,Home
-0.203947,-1.153448,-1.270865,0.915327,2.319938,0.175433,0.604189,-0.764255,-0.688864,-0.500337,Away
-0.203947,1.185997,0.097576,-1.511942,3.726776,1.51447,1.886139,1.379386,-0.688864,-0.500337,Away
-0.203947,0.308705,-0.358571,-1.511942,-0.493739,0.175433,1.886139,-0.764255,0.439617,-0.500337,Home
-0.203947,-0.861018,-0.814718,-1.511942,1.194467,-0.270912,-0.677762,2.451207,-0.688864,-0.500337,Away
-0.203947,-0.568587,-0.358571,0.106237,-1.056475,0.175433,-0.677762,-0.764255,-0.688864,-0.500337,Home
-0.203947,-0.861018,-1.270865,-0.298308,-0.775107,-1.163604,-0.677762,0.307566,-0.688864,-0.500337,Away
-0.203947,0.893566,0.553723,0.106237,-0.212371,-1.163604,0.604189,0.307566,1.568098,-0.500337,Home
-0.203947,0.893566,1.466016,-0.298308,1.757202,1.960816,-0.677762,0.307566,0.439617,-0.500337,Away
-0.203947,0.601136,0.097576,2.128961,0.350364,-0.270912,0.604189,-0.764255,0.439617,-0.500337,Home
-0.203947,1.478428,0.553723,-0.702853,0.068996,0.175433,0.604189,1.379386,0.439617,-0.500337,Home
-0.203947,1.185997,-1.270865,0.510782,0.350364,-0.717258,0.604189,-0.764255,-0.688864,-0.500337,Home
4.894718,-0.861018,-1.727011,1.319871,-0.212371,-0.717258,0.604189,-0.764255,-0.688864,-0.500337,Away
-0.203947,-0.861018,-0.358571,1.319871,0.068996,0.175433,0.604189,0.307566,0.439617,-0.500337,Away
-0.203947,0.308705,-0.814718,1.724416,-1.337842,-1.609949,-0.677762,-0.764255,-0.688864,1.443539,Home
-0.203947,0.308705,-0.358571,-1.107397,0.068996,0.175433,-0.677762,0.307566,-0.688864,1.443539,Home
-0.203947,0.893566,0.097576,-0.298308,-0.775107,-1.163604,-0.677762,-0.764255,-0.688864,-0.500337,Home
-0.203947,-0.568587,2.834456,0.510782,-0.493739,-0.717258,1.886139,0.307566,1.568098,-0.500337,Away
-0.203947,0.308705,-0.358571,0.106237,1.757202,-0.270912,-0.677762,0.307566,-0.688864,-0.500337,Away
-0.203947,-0.276156,0.553723,-1.107397,-1.337842,-1.163604,-0.677762,-0.764255,-0.688864,1.443539,Home
-0.203947,-0.276156,-0.814718,-0.702853,-1.337842,-0.717258,-0.677762,-0.764255,-0.688864,-0.500337,Home
-0.203947,-0.276156,1.009869,0.106237,-1.056475,-1.163604,0.604189,-0.764255,-0.688864,1.443539,Home
-0.203947,-0.568587,1.466016,-0.298308,-0.493739,-1.163604,0.604189,-0.764255,1.568098,-0.500337,Home
-0.203947,-0.276156,0.097576,2.128961,0.631732,2.407162,-0.677762,-0.764255,0.439617,1.443539,Away
-0.203947,0.601136,0.097576,0.106237,-1.337842,-1.609949,0.604189,0.307566,-0.688864,-0.500337,Home
-0.203947,2.063289,1.009869,0.510782,2.03857,-0.270912,-0.677762,-0.764255,-0.688864,1.443539,Home
-0.203947,0.016274,0.553723,-0.702853,-0.775107,-1.163604,-0.677762,-0.764255,2.696578,-0.500337,Home
-0.203947,0.308705,2.37831,-1.916487,-1.337842,-1.163604,-0.677762,0.307566,-0.688864,1.443539,Home
-0.203947,0.308705,-0.358571,-1.107397,0.068996,0.175433,-0.677762,-0.764255,-0.688864,-0.500337,Home
-0.203947,2.35572,0.097576,-0.702853,-0.493739,-1.609949,-0.677762,-0.764255,-0.688864,-0.500337,Home
-0.203947,0.893566,-0.358571,0.915327,0.068996,-0.717258,-0.677762,-0.764255,0.439617,5.331289,Home
4.894718,-1.445879,0.553723,1.319871,-0.775107,-0.717258,-0.677762,0.307566,-0.688864,-0.500337,Away
-0.203947,2.063289,1.466016,0.510782,-1.056475,-0.270912,0.604189,0.307566,-0.688864,1.443539,Home
-0.203947,0.308705,-1.270865,0.510782,-0.493739,-0.717258,0.604189,0.307566,2.696578,-0.500337,Home
-0.203947,-1.153448,0.553723,0.510782,2.882673,2.407162,0.604189,2.451207,-0.688864,-0.500337,Away
-0.203947,-0.276156,-1.727011,-1.107397,1.757202,-0.717258,-0.677762,1.379386,-0.688864,-0.500337,Away
-0.203947,-1.445879,-0.358571,-1.107397,0.068996,0.621779,0.604189,-0.764255,-0.688864,3.387414,Away
-0.203947,2.35572,1.466016,-0.702853,-0.775107,0.175433,1.886139,0.307566,0.439617,1.443539,Home
-0.203947,-0.861018,-0.358571,0.510782,0.068996,1.960816,-0.677762,0.307566,-0.688864,-0.500337,Away
-0.203947,1.185997,1.009869,-0.702853,0.068996,-0.717258,-0.677762,-0.764255,-0.688864,-0.500337,Home
-0.203947,0.016274,1.466016,-0.702853,-0.775107,0.621779,0.604189,0.307566,1.568098,-0.500337,Home
-0.203947,-1.153448,-1.270865,0.106237,-0.775107,0.175433,0.604189,-0.764255,0.439617,3.387414,Away
-0.203947,1.478428,0.097576,0.510782,-0.775107,0.175433,-0.677762,0.307566,0.439617,-0.500337,Home
-0.203947,-0.568587,-0.358571,0.106237,1.475835,-0.717258,-0.677762,-0.764255,1.568098,3.387414,Away
4.894718,-0.568587,-0.814718,-0.298308,1.194467,-0.270912,-0.677762,-0.764255,0.439617,1.443539,Away
-0.203947,0.016274,0.097576,0.915327,1.194467,-0.717258,0.604189,0.307566,-0.688864,-0.500337,Away
-0.203947,-1.153448,0.097576,-0.702853,-1.337842,0.175433,-0.677762,0.307566,-0.688864,1.443539,Home
-0.203947,0.893566,0.097576,-0.298308,-1.337842,-0.270912,-0.677762,0.307566,-0.688864,1.443539,Home
-0.203947,1.185997,-1.727011,0.106237,-0.775107,-0.270912,1.886139,-0.764255,-0.688864,-0.500337,Home
